trainer,rank_singles_uncursed,rank_doubles_uncursed,rank_delta,rating_singles_uncursed,rating_doubles_uncursed,rating_delta,battles_singles_uncursed,battles_doubles_uncursed
SCIENTIST_M5:Sonatane,365,350,15,1272.51,1309.12,36.61,542,536
SMASHER:Stella,382,397,-15,1225.96,1151.56,-74.4,541,536
WILDPARTY_BULU:of Abundance,171,186,-15,1825.85,1785.73,-40.12,541,536
BUGCATCHER_F:April,178,192,-14,1816.82,1766.95,-49.87,542,536
CAMPER:Christian,450,464,-14,894.58,841.35,-53.23,541,536
COOLTRAINERSQUAD_2:Shouta and Kaede,183,169,14,1800.21,1815.07,14.86,542,536
GARDENER:Bud,224,238,-14,1656.94,1615.33,-41.61,542,536
LEADER_Samorn:Samorn#1,164,150,14,1844.31,1879.38,35.07,542,536
MASKEDVILLAIN2:Teal#7,174,160,14,1821.36,1842.28,20.92,541,536
POKEMONCHAMPION_Vanya:Vanya,6,20,-14,2328.86,2232.57,-96.29,542,536
POKEMONTRAINER_Yezera:Yezera#7,85,71,14,2061.85,2092.07,30.22,542,536
RICHCOUPLE:Diana and Edward,236,222,14,1620.28,1680.33,60.05,541,536
ROUGHNECK2:Flavio,376,390,-14,1240.27,1179.57,-60.7,542,536
SPIRITGUARDIAN2:Sonya,172,158,14,1823.61,1849.23,25.62,541,536
TAPU_KOKO:Tapu Koko#1,64,78,-14,2118.64,2081.17,-37.47,542,536
TUBER_M:Derek,388,374,14,1195.68,1233.48,37.8,542,536
ANOTHERPOSSIBLEALESSA:Alessa,22,35,-13,2248.97,2171.61,-77.36,542,536
ARTIFICIALTRAINER:Solitaire,324,337,-13,1405.03,1354.17,-50.86,475,536
BIRDKEEPER_M:Kendall,351,364,-13,1313.34,1255.33,-58.01,542,536
BUGCATCHER2:Rangsan,252,265,-13,1578.02,1554.85,-23.17,542,536
BUGCATCHER_F:Lovina,465,452,13,849.48,876.78,27.3,542,536
COOLTRAINER_F7:Milja,327,340,-13,1396.17,1351.01,-45.16,542,536
KATY:Manycrows,43,56,-13,2171.9,2115.43,-56.47,541,536
MASKEDVILLAIN:Crimson#3,273,260,13,1539.19,1562.54,23.35,542,536
POKEMONMASTER_Vanya:Vanya#6,160,147,13,1851.23,1910.52,59.29,542,536
POKEMONRANGER_M4_GANG:Micah,212,199,13,1696.88,1744.03,47.15,541,536
SCIENTIST_M3:Gunter,231,218,13,1644.01,1696.16,52.15,542,536
SWIMMER_F5:Shreya,266,279,-13,1548.35,1524.41,-23.94,542,536
VETERAN_F:Genevieve,446,459,-13,915.0,861.25,-53.75,542,536
WAITRESS2:Fanfan,82,95,-13,2065.71,2051.72,-13.99,542,536
ARTIFICIALTRAINER:Trinity,283,271,12,1517.76,1541.04,23.28,539,535
EXPERTF:Kimiko,179,191,-12,1811.45,1770.04,-41.41,542,536
FORMERCHAMP_Elise:Elise,10,22,-12,2298.77,2230.99,-67.78,542,536
FORMERCHAMP_Elise:Elise#1,15,27,-12,2269.33,2202.93,-66.4,542,536
FORMERCHAMP_Praveen:Praveen,67,55,12,2113.28,2118.98,5.7,542,536
LEADER_Zoe:Zoé,394,406,-12,1171.88,1131.17,-40.71,542,536
MASKEDVILLAIN2:Teal#10,106,94,12,2026.18,2055.63,29.45,542,536
MASKEDVILLAIN:Crimson#8,238,226,12,1617.48,1663.97,46.49,542,536
NIGHTMARE_TRAINER:Agony,275,263,12,1536.9,1557.18,20.28,542,536
NIGHTMARE_TRAINER:Torment,245,257,-12,1596.42,1570.79,-25.63,542,536
POKEMONBREEDER_F:Miss Zesty,142,154,-12,1894.36,1870.45,-23.91,542,536
POKEMONTRAINER_Yezera:Yezera#5,367,355,12,1254.77,1289.85,35.08,542,536
RICHBOY:Splitmoon,120,108,12,1984.44,2019.83,35.39,542,536
SAGE:Imay,495,507,-12,713.21,655.78,-57.43,542,536
SAGE:Takeshi,195,207,-12,1770.55,1721.35,-49.2,542,536
SAILOR2:Noah,384,396,-12,1225.5,1151.56,-73.94,542,536
TRAINER_Candy:Candy#1,20,8,12,2256.9,2290.08,33.18,542,536
CHALLENGER_Vanya:Vanya#6,256,245,11,1566.6,1598.88,32.28,542,536
CHEF:Gordon,232,243,-11,1636.19,1602.81,-33.38,540,536
DANDY:Charles,458,469,-11,880.12,819.05,-61.07,542,536
DANDY:Roger,191,202,-11,1786.05,1737.03,-49.02,542,536
HOOPSTER:Jerel,466,477,-11,849.48,787.47,-62.01,542,536
IDEALTRAINER:of Days,155,144,11,1872.57,1921.66,49.09,542,536
MASKEDVILLAIN2:Teal#19,130,119,11,1938.98,1991.45,52.47,542,536
MASKEDVILLAIN2:Teal#3,199,210,-11,1746.85,1708.81,-38.04,542,536
